Date,Open,High,Low,Close,Adj Close,Volume
2018-05-04,51.820000,52.270000,51.779999,52.270000,51.064301,5163665
2018-05-07,51.840000,52.730000,51.810001,52.709999,51.494152,4198502
2018-05-08,52.189999,52.410000,51.689999,51.810001,50.614910,7169504
2018-05-09,52.060001,52.779999,52.020000,52.779999,51.562534,5916840
2018-05-10,52.849998,52.900002,52.279999,52.709999,51.494152,3775827
2018-05-11,52.740002,53.330002,52.580002,53.330002,52.099850,4121949
2018-05-14,53.220001,53.779999,53.080002,53.700001,52.461315,4211624
2018-05-15,53.610001,54.139999,53.580002,53.900002,52.656700,5613306
2018-05-16,53.580002,53.900002,53.459999,53.540001,52.305004,4804039
2018-05-17,53.480000,54.599998,53.470001,54.500000,53.242863,5938975
2018-05-18,54.180000,54.950001,54.169998,54.480000,53.223320,10371317
2018-05-21,54.590000,54.860001,54.430000,54.500000,53.242863,3037025
2018-05-22,54.369999,54.689999,53.750000,54.119999,52.871624,6018371
2018-05-23,53.500000,53.750000,52.130001,52.439999,51.230377,8905934
2018-05-24,52.450001,52.840000,51.720001,51.810001,50.614910,5891801
2018-05-25,51.820000,52.160000,50.889999,51.060001,49.882214,7037082
2018-05-28,50.959999,51.389999,50.580002,50.759998,49.589127,3593822
2018-05-29,50.459999,51.480000,49.490002,51.009998,49.833363,9380928
2018-05-30,51.130001,52.000000,51.110001,51.900002,50.702835,7334673
2018-05-31,51.980000,52.380001,51.599998,52.049999,50.849373,8710760
2018-06-01,52.259998,52.900002,52.259998,52.730000,51.513687,6205310
2018-06-04,52.990002,53.160000,52.570000,52.639999,51.425766,4237939
2018-06-05,52.560001,53.189999,52.240002,52.299999,51.093609,5787285
2018-06-06,52.709999,52.939999,52.110001,52.720001,51.503922,7100395
2018-06-07,52.820000,53.599998,52.750000,53.380001,52.148697,6403747
2018-06-08,53.209999,53.599998,52.959999,53.099998,51.875153,5326734
2018-06-11,52.490002,52.820000,52.380001,52.779999,52.171696,6979312
2018-06-12,52.910000,52.980000,52.169998,52.320000,51.716999,6804677
2018-06-13,51.970001,52.320000,51.799999,52.070000,51.469879,6370788
2018-06-14,51.799999,53.040001,51.750000,52.860001,52.250774,7649649
2018-06-15,52.860001,52.970001,52.230000,52.349998,51.746651,24908700
2018-06-18,52.099998,52.490002,51.910000,52.230000,51.628033,7236594
2018-06-19,51.810001,51.990002,51.500000,51.790001,51.193108,7451526
2018-06-20,51.980000,52.040001,51.130001,51.250000,50.659328,7378900
2018-06-21,51.389999,51.450001,50.610001,50.799999,50.214516,5574620
2018-06-22,50.919998,52.730000,50.630001,52.480000,51.875153,7615289
2018-06-25,51.900002,52.540001,51.520000,51.669998,51.074486,5006276
2018-06-26,51.799999,51.869999,51.330002,51.480000,50.886677,4654038
2018-06-27,51.799999,53.130001,51.599998,52.490002,51.885040,6691677
2018-06-28,52.459999,52.950001,51.970001,52.169998,51.568726,6136939
2018-06-29,52.500000,52.820000,52.209999,52.209999,51.608265,6088517
2018-07-02,51.689999,52.540001,51.349998,52.209999,51.608265,6197475
2018-07-03,52.680000,53.209999,52.169998,52.730000,52.122272,5185423
2018-07-04,52.840000,53.349998,52.770000,52.959999,52.349621,3757692
2018-07-05,52.830002,54.250000,52.799999,53.720001,53.100864,6974664
2018-07-06,53.759998,53.849998,52.910000,53.310001,52.695587,4772138
2018-07-09,53.709999,54.180000,53.529999,54.000000,53.377636,4422101
2018-07-10,54.160000,54.869999,54.150002,54.619999,53.990490,5234184
2018-07-11,54.290001,54.369999,53.160000,53.160000,52.547318,6073456
2018-07-12,52.849998,53.270000,52.669998,53.270000,52.656048,5179889
2018-07-13,53.580002,53.580002,53.080002,53.330002,52.715359,3841378
2018-07-16,53.299999,53.389999,52.549999,52.790001,52.181583,3641931
2018-07-17,52.779999,52.840000,52.310001,52.750000,52.142040,3297635
2018-07-18,52.889999,53.180000,52.349998,52.900002,52.290314,3744964
2018-07-19,53.080002,53.299999,52.720001,52.880001,52.270546,4595461
2018-07-20,52.599998,52.840000,51.919998,52.599998,51.993771,7318636
2018-07-23,52.450001,52.779999,52.119999,52.599998,51.993771,2993307
2018-07-24,52.400002,53.080002,52.160000,52.869999,52.260658,3746105
2018-07-25,52.790001,53.070000,52.450001,52.799999,52.191463,3893685
2018-07-26,53.200001,54.000000,52.849998,54.000000,53.377636,6871125
2018-07-27,54.230000,55.000000,54.110001,55.000000,54.366112,6036183
2018-07-30,54.950001,55.660000,54.840000,55.150002,54.514381,4041960
2018-07-31,54.610001,56.080002,54.599998,55.860001,55.216198,6459528
